text,label
Poor quality and not worth the money.,negative
Support ignored my problem for days.,negative
The software was updated last week.,neutral
The movie was engaging and well made.,positive
Worst experience I have had in a long time.,negative
The update improved everything noticeably.,positive
The interface is confusing and messy.,negative
This app has several menu options.,neutral
Fresh ingredients and delicious taste.,positive
Great quality and fantastic value for money.,positive
The package includes a charger and manual.,neutral
The restaurant experience was wonderful.,positive
The customer asked for more information.,neutral
The update broke several features.,negative
Smooth checkout and quick delivery.,positive
The restaurant is located near the station.,neutral
Delivery was late and the package was damaged.,negative
The order was placed online.,neutral
The service is available in multiple cities.,neutral
I would not recommend this to anyone.,negative
The interface feels intuitive and polished.,positive
The movie was boring and badly made.,negative
Very disappointed with the purchase.,negative
I am unhappy with the results.,negative
The product arrived yesterday.,neutral
The phone comes in black and blue.,neutral
"I love this product, it works perfectly.",positive
The restaurant experience was awful.,negative
The food was cold and the service was terrible.,negative
The page loads after a few seconds.,neutral
The review describes the main features.,neutral
I visited the place with my friend.,neutral
"The dish contains rice, vegetables, and sauce.",neutral
"This app is fast, clean, and super helpful.",positive
The meal tasted stale and bland.,negative
Absolutely delighted with the purchase.,positive
The meeting started at 10 AM.,neutral
The support team solved my issue quickly.,positive
Best experience I have had in a long time.,positive
Highly recommend this to everyone.,positive
"I hate this product, it stopped working.",negative
"This app is slow, buggy, and frustrating.",negative
The food was amazing and the service was excellent.,positive
I am very happy with the results.,positive
The movie released in 2024.,neutral
